Time (s),Actual Temperature (C),Target Temperature (C)
368.47206910001114,226.5,250.0
368.79326950001996,226.5,250.0
369.1110401999904,226.5,250.0
369.41424170002574,226.5,250.0
369.7177588000195,226.5,250.0
370.0539726000279,226.70000000000002,250.0
370.35727760003647,226.70000000000002,250.0
370.6623288000119,226.70000000000002,250.0
370.96469870000146,226.60000000000002,250.0
371.28311250003753,226.60000000000002,250.0
371.606103099999,226.60000000000002,250.0
371.9077710999991,226.9,250.0
372.22876850003377,226.9,250.0
372.56416870001704,226.9,250.0
372.8647484999965,226.9,250.0
373.1878660999937,226.9,250.0
373.4908199000056,227.10000000000002,250.0
373.79543820000254,227.10000000000002,250.0
374.11400270002196,227.10000000000002,250.0
374.4321138000232,227.20000000000002,250.0
374.73859419999644,227.20000000000002,250.0
375.0576972999843,227.20000000000002,250.0
375.37397429998964,227.20000000000002,250.0
375.6928836000152,227.20000000000002,250.0
376.0135588000412,227.20000000000002,250.0
376.3173483000137,227.5,250.0
376.62046960002044,227.5,250.0
376.9421377000399,227.4,250.0
377.2623218999943,227.4,250.0
377.58135170000605,227.4,250.0
377.8848018000135,227.70000000000002,250.0
378.2025225000107,227.70000000000002,250.0
378.50701549998485,227.70000000000002,250.0
378.8252301000175,227.60000000000002,250.0
379.13217799999984,227.60000000000002,250.0
379.43649890000233,227.60000000000002,250.0
379.75523670000257,227.8,250.0
380.07580440002494,227.8,250.0
380.39134989999,227.8,250.0
380.6951842000126,227.8,250.0
381.0005097000394,227.8,250.0
381.3196492000134,227.8,250.0
381.62398329999996,227.9,250.0
381.9453472000314,227.9,250.0
382.26191420003306,228.0,250.0
382.56779450003523,228.0,250.0
382.88424909999594,228.0,250.0
383.20569690002594,228.0,250.0
383.5092952999985,228.0,250.0
383.82832510001026,228.0,250.0
384.13019639998674,228.20000000000002,250.0
384.43531159998383,228.20000000000002,250.0
384.7557117000106,228.20000000000002,250.0
385.0771987999906,228.10000000000002,250.0
385.39502629998606,228.10000000000002,250.0
385.6979618000332,228.10000000000002,250.0
386.0039314000169,228.4,250.0
386.31933329999447,228.4,250.0
386.6248808000237,228.4,250.0
386.94467050000094,228.4,250.0
387.2650646000402,228.4,250.0
387.5691044999985,228.5,250.0
387.8888355999952,228.5,250.0
388.18972309998935,228.5,250.0
388.5085119000287,228.60000000000002,250.0
388.8327516000136,228.60000000000002,250.0
389.13251249998575,228.60000000000002,250.0
389.4354540000204,228.60000000000002,250.0
389.7552263000398,228.60000000000002,250.0
390.0785089000128,228.60000000000002,250.0
390.3781603000243,228.8,250.0
390.6858552999911,228.8,250.0
391.00387300003786,228.8,250.0
391.3223994,228.70000000000002,250.0
391.62641979998443,228.70000000000002,250.0
391.94736799999373,229.0,250.0
392.26543080003466,229.0,250.0
