Time (s),Actual Temperature (C),Target Temperature (C)
27.69287520000944,180.70000000000002,250.0
27.99432150000939,181.5,250.0
28.300373000034597,181.5,250.0
28.634196099999826,181.5,250.0
28.939027499989606,182.4,250.0
29.259123300027568,182.4,250.0
29.563757800031453,182.4,250.0
29.88130300003104,183.10000000000002,250.0
30.186209600011352,183.10000000000002,250.0
30.506291300000157,183.9,250.0
30.81111900001997,183.9,250.0
31.131411899987143,183.9,250.0
31.435513600008562,184.70000000000002,250.0
31.751426100032404,184.70000000000002,250.0
32.056962899980135,184.70000000000002,250.0
32.376880099996924,185.60000000000002,250.0
32.681805600004736,185.60000000000002,250.0
33.00196120003238,185.60000000000002,250.0
33.302935699990485,186.4,250.0
33.62325519998558,186.4,250.0
33.92985429998953,186.4,250.0
34.26429790002294,187.20000000000002,250.0
34.569343300012406,187.20000000000002,250.0
34.885190000000875,187.9,250.0
35.19050470000366,187.9,250.0
35.51197580003645,187.9,250.0
35.81651969999075,188.70000000000002,250.0
36.11717620003037,188.70000000000002,250.0
36.4384000999853,188.70000000000002,250.0
36.757262099999934,189.5,250.0
37.07708910002839,189.5,250.0
37.381812900013756,189.5,250.0
37.7019271000172,190.20000000000002,250.0
38.00382769998396,190.20000000000002,250.0
38.323203600011766,190.20000000000002,250.0
38.6287267000298,191.0,250.0
38.948695100029,191.0,250.0
39.25357230001828,191.0,250.0
39.57360270002391,191.8,250.0
39.87420670001302,191.8,250.0
40.19482560001779,192.4,250.0
40.49942549999105,192.4,250.0
40.801616100012325,192.4,250.0
41.12217450002208,193.20000000000002,250.0
41.42739610001445,193.20000000000002,250.0
41.747854400018696,193.20000000000002,250.0
42.06510370003525,193.9,250.0
42.38565509999171,193.9,250.0
42.69138390000444,193.9,250.0
43.00966029998381,194.60000000000002,250.0
43.31471960002091,194.60000000000002,250.0
43.63467960001435,194.60000000000002,250.0
43.938824100012425,195.3,250.0
44.254864700022154,195.3,250.0
44.55949509999482,195.9,250.0
44.87993930000812,195.9,250.0
45.18522480002139,195.9,250.0
45.5056907000253,196.5,250.0
45.80623729998479,196.5,250.0
46.12670490000164,196.5,250.0
46.4319987000199,197.10000000000002,250.0
46.75233510002727,197.10000000000002,250.0
47.05703369999537,197.10000000000002,250.0
47.37679250002839,197.70000000000002,250.0
47.69594180001877,197.70000000000002,250.0
48.01636240002699,197.70000000000002,250.0
48.31704080000054,198.4,250.0
48.62222680001287,198.4,250.0
